project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,1.0,false,PACKAGE,5,0,0.0,false,7,1,0.011940944491237181,0,PACKAGE,.,.,com.pump.blog,blog,10787,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.7142857142857143,false,PACKAGE,5,4,0.4,false,187,9,0.006094548366760901,0,PACKAGE,.,.,com.pump.animation,animation,2604,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,1,3,0.36363636363636365,false,651,7,0.007889604192189214,0,PACKAGE,.,.,com.pump.inspector,inspector,6731,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.14705882352941177,false,PACKAGE,20,8,0.32727272727272727,false,3145,37,0.034005197867299115,0,PACKAGE,.,.,com.pump.awt,awt,4713,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.3333333333333333,false,PACKAGE,0,7,1.0,false,461,4,0.003337730402180565,0,PACKAGE,.,.,com.pump.animation.quicktime,quicktime,2678,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,1,3,0.75,false,192,2,0.003920615081424261,0,PACKAGE,.,.,com.pump.animation.writing,writing,2686,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,4,1,0.14285714285714285,false,221,4,0.005946809056390213,0,PACKAGE,.,.,com.pump.window,window,2695,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,0,0,1.0,false,0,1,0.003337730402180565,0,PACKAGE,.,.,org,org,6818,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,0,0,1.0,false,0,1,0.003337730402180565,0,PACKAGE,.,.,org.apache,apache,6824,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.4,false,PACKAGE,0,5,1.0,false,516,10,0.003337730402180565,0,PACKAGE,.,.,com.pump.desktop.doc,doc,2730,container
